Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1880,-0.29,-0.18,-0.11,-0.2,-0.12,-0.23,-0.21,-0.09,-0.16,-0.23,-0.2,-0.23
1890,-0.44,-0.45,-0.4,-0.37,-0.45,-0.27,-0.27,-0.38,-0.39,-0.24,-0.48,-0.31
1900,-0.37,-0.03,0.01,-0.12,-0.1,-0.13,-0.13,-0.1,-0.05,0.09,-0.1,-0.07
1910,-0.45,-0.44,-0.51,-0.4,-0.35,-0.38,-0.35,-0.37,-0.36,-0.38,-0.54,-0.66
1920,-0.23,-0.23,-0.08,-0.26,-0.27,-0.36,-0.32,-0.25,-0.2,-0.27,-0.27,-0.44
1930,-0.3,-0.27,-0.09,-0.24,-0.23,-0.2,-0.2,-0.12,-0.12,-0.09,0.15,-0.08
1940,-0.06,0.13,0.15,0.18,0.1,0.08,0.12,0.05,0.13,0.08,0.17,0.28
1950,-0.33,-0.28,-0.07,-0.2,-0.09,-0.03,-0.1,-0.16,-0.12,-0.22,-0.38,-0.2
1960,-0.01,0.16,-0.34,-0.14,-0.07,-0.04,-0.03,0.01,0.07,0.07,-0.12,0.18
1970,0.09,0.22,0.08,0.09,-0.04,-0.02,-0.02,-0.09,0.11,0.06,0.02,-0.12
1980,0.3,0.42,0.3,0.33,0.36,0.17,0.28,0.23,0.19,0.18,0.29,0.2
1990,0.41,0.41,0.77,0.55,0.46,0.38,0.43,0.31,0.29,0.41,0.46,0.41
2000,0.23,0.56,0.57,0.57,0.36,0.41,0.38,0.42,0.4,0.28,0.32,0.29
